Terminal log file
Date: 31.07.2023 - 13:07:38
-----------------------------------------------
13:08:13.734> 
Stepper motor with reduction!!! (1/6)13:08:13.734> 
13:08:13.734> 
Total rotation time 97.5 minutes13:08:14.077> 
Time while sunlit 54.5 minutes13:08:14.077> 
Time in shadow 43 minutes13:08:14.077> 
13:08:14.077> 
Rotation angle 20113:08:14.077> 
Motor step 0.05 degrees13:08:14.077> 
Stepper motor should make 13440 steps13:08:14.077> 
The sunlit side lasts 3270 seconds13:08:14.077> 
One step in 243304 microseconds13:08:14.077> 
Total time of orbit 585013:08:14.077> 
13:08:14.077> 
**********************************13:08:14.077> 
13:08:14.077> 
The current angle is:;  65.82;  Step number is:;  4387;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:26:09.006> 
The current angle is:;  66.43;  Step number is:;  4428;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:26:19.016> 
The current angle is:;  67.05;  Step number is:;  4469;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:26:29.039> 
The current angle is:;  67.66;  Step number is:;  4510;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:26:39.014> 
The current angle is:;  68.28;  Step number is:;  4551;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:26:49.002> 
The current angle is:;  68.89;  Step number is:;  4592;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:26:59.012> 
The current angle is:;  69.51;  Step number is:;  4633;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:27:09.056> 
The current angle is:;  70.12;  Step number is:;  4674;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:27:19.034> 
The current angle is:;  70.74;  Step number is:;  4715;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:27:29.032> 
The current angle is:;  71.35;  Step number is:;  4756;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:27:39.013> 
The current angle is:;  71.97;  Step number is:;  4797;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:27:49.053> 
The current angle is:;  72.58;  Step number is:;  4838;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:27:59.052> 
The current angle is:;  73.20;  Step number is:;  4879;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:28:08.992> 
The current angle is:;  73.81;  Step number is:;  4920;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:28:19.005> 
The current angle is:;  74.43;  Step number is:;  4961;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:28:29.037> 
The current angle is:;  75.04;  Step number is:;  5002;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:28:38.990> 
The current angle is:;  75.66;  Step number is:;  5043;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:28:48.992> 
The current angle is:;  76.27;  Step number is:;  5084;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:28:58.994> 
The current angle is:;  76.89;  Step number is:;  5125;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:29:09.041> 
The current angle is:;  77.50;  Step number is:;  5166;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:29:19.053> 
The current angle is:;  78.12;  Step number is:;  5207;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:29:29.060> 
The current angle is:;  78.73;  Step number is:;  5248;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:29:39.033> 
The current angle is:;  79.35;  Step number is:;  5289;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:29:49.034> 
The current angle is:;  79.96;  Step number is:;  5330;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:29:59.029> 
The current angle is:;  80.58;  Step number is:;  5371;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:30:09.019> 
The current angle is:;  81.19;  Step number is:;  5412;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:30:19.060> 
The current angle is:;  81.81;  Step number is:;  5453;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:30:29.014> 
The current angle is:;  82.42;  Step number is:;  5494;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:30:39.015> 
The current angle is:;  83.04;  Step number is:;  5535;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:30:49.053> 
The current angle is:;  83.65;  Step number is:;  5576;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:30:59.021> 
The current angle is:;  84.27;  Step number is:;  5617;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:31:09.034> 
The current angle is:;  84.88;  Step number is:;  5658;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:31:19.047> 
The current angle is:;  85.50;  Step number is:;  5699;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:31:29.033> 
The current angle is:;  86.11;  Step number is:;  5740;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:31:38.993> 
The current angle is:;  86.73;  Step number is:;  5781;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:31:49.022> 
The current angle is:;  87.34;  Step number is:;  5822;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:31:59.026> 
The current angle is:;  87.96;  Step number is:;  5863;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:32:09.025> 
The current angle is:;  88.57;  Step number is:;  5904;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:32:19.034> 
The current angle is:;  89.19;  Step number is:;  5945;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:32:29.003> 
The current angle is:;  89.80;  Step number is:;  5986;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:32:39.048> 
